# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Ableauctions.com Inc.",AAC
"Almaden Minerals Ltd.",AAU
"American Biltrite Inc.",ABL
"Abraxas Petroleum Corp.",ABP
"Acme United Corp.",ACU
"AeroCentury Corp.",ACY
"Allied Defense Group Inc.",ADG
"Adherex Technologies Inc.",ADH
"AMDL Inc.",ADL
"Adams Resources & Energy Inc.",AE
"Austral Pacific Energy Ltd.",AEN
"American Oil & Gas Inc.",AEZ
"United Capital Corp.",AFP
"Axesstel Inc.",AFT
"Apollo Gold Corp.",AGT
"ATC Healthcare Inc.",AHN
"Law Enforcement Associates Corp.",AID
"Aerosonic Corp.",AIM
"American Israeli Paper Mills Ltd.",AIP
"Antares Pharma Inc.",AIS
"Alteon Inc.",SYI
"American Mortgage Acceptance Company",AMC
"American Shared Hospital Services",AMS
"AmeriVest Properties Inc.",AMV
AmREIT,AMY
"Anooraq Resources Corporation",ANO
"AirNet Systems Inc.",ANS
"Adventrx Pharmaceuticals Inc.",ANX
"Aurora Oil & Gas Corp.",AOG
"Advanced Photonix Inc.",API
"American Community Properties Trust",APO
"Alpha Pro Tech Ltd.",APT
"Aspyra Inc.",APY
"American Spectrum Realty Inc.",AQQ
"ACQUICOR TECHNOLOGY",JAZ
"Ascendia Brands, Inc.",ASB
"Elecsys Corp.",ASY
"Apogee Technology Inc.",ATA
"Cycle Country Accessories Corp.",ATC
N/A,ATF
"AT Cross Co.",ATX
"Avalon Holdings Corp.",AWX
"Accelr8 Technology Corp.",AXK
"AXS-One Inc.",AXO
"Aurizon Mines Ltd.",AZK
"Arizona Land Income Corp.",AZL
"Arizona Star Resource Corp.",AZS
"Banro Corp.",BAA
"Biotech HOLDRs",BBH
"BlackRock California Municipal Income Trust II",BCL
"Balchem Corp.",BCP
"BlackRock Broad Investment Grade 2009 Term Trust",BCT
"Bancroft Fund Ltd.",BCV
"Broadband HOLDRs",BDH
"Flanigan's Enterprises Inc.",BDL
"Blonder Tongue Laboratories Inc.",BDR
"BlackRock New York Municipal Income Trust II",BFY
"MS BRIDGES DJIA",BGD
"Bar Harbor Bankshares",BHB
"B2B Internet HOLDRs",BHH
"B+H Ocean Carriers Ltd.",BHO
"BlackRock Virginia Municipal Bond Trust",BHV
"Bell Industries Inc.",BI
"Bio-Rad Laboratories Inc.",BIO
"BIW Ltd.",BIW
"Michael Baker Corporation",BKR
"Baldwin Technology Co. Inc.",BLD
"BlackRock Municipal Income Trust II",BLE
"BlackRock New Jersey Municipal Bond Trust",BLJ
"Birch Mountain Resources Ltd.",BMD
"Badger Meter Inc.",BMI
"Birks & Mayors Inc.",BMJ
"Beverly National Corp.",BNV
"MS BRIDGES OIL IND",BOI
"Collegiate Pacific Inc.",BOO
"Biosante Pharmaceuticals Inc.",BPA
"BPI Energy Holdings, Inc",BPG
"BlackRock Pennsylvania Strategic Municipal Trust Fund",BPS
"CanWest Petroleum Corp.",BQI
"BlackRock S&P Quality Rankings Global Equity Managed Trust",BQY
"MS DW S&P500 BRIDGES",BRD
"Barnwell Industries Inc.",BRN
"ACR Group Inc.",BRR
"BSD Medical Corp.",BSM
"British American Tobacco plc",BTI
"Bolt Technology Corp.",BTJ
"Ballantyne of Omaha Inc.",BTN
"Minrad International Inc.",BUF
"Bovie Medical Corp.",BVX
"MS TG INC STG TRS",BWN
"ML 8% STRAT RTN NTS",BWR
"ML STRAT RTN NTS S&P",BXA
"MS DW BIOTECH BOXES",BXB
"ML 8% MISRN CBOE BW",BXU
"Breeze-Eastern Corporation",BZC
"BlackRock Maryland Municipal Bond Trust",BZM
"Capital Alliance Income Trust Ltd.",CAA
"Camden National Corp.",CAC
"CGM PPN ASIAN CURR",CAQ
"Canyon Resources Corp.",CAU
"Cavalier Homes Inc.",CAV
"CCA Industries Inc.",CAW
"MS ASE CHINA IDX CPN",CAX
"Colonial California Insured Municipal Fund Inc.",CCA
"Chase Corp.",CCF
"COLD SPRING CAPITAL",CDS
"Cardero Resource Corp.",CDY
"Central Fund of Canada",CEF
"Central Securities Corp.",CET
"Eaton Vance California Municipal Income Trust",CEV
"CE Franklin Ltd.",CFK
"Comforce Corp.",CFS
"Cano Petroleum Inc.",CFW
"Congoleum Corp.",CGM
"Cognitronics Corp.",THN
"Claude Resources Inc.",CGR
N/A,CH
N/A,CIK
"CKX Lands Inc.",CKX
"Cornerstone Strategic Value Fund Inc.",CLM
"Celsion Corp.",CLN
"Criticare Systems Inc.",CMD
"Cathay Merchant Group Inc.",CMQ
"Core Molding Technologies Inc.",CMT
"CanArgo Energy Corp.",CNR
"Continucare Corp.",CNU
"Cortex Pharmaceuticals Inc.",COR
"Caraco Pharmaceutical Laboratories Ltd.",CPD
"Capital Properties Inc.",CPI
"Courtside Acquisition Corp",ANE
"Chromcraft Revington Inc.",CRC
"Cornerstone Total Return Fund Inc.",CRF
"Coast Distribution System Inc.",CRV
"Cardiotech International Inc.",CTE
"Consolidated Tomoka Land Co.",CTO
"Competitive Technologies Inc.",CTT
"Chad Therapeutics Inc.",CTU
"Cubic Corp.",CUB
"Continental Materials Corp.",CUO
"Castle Convertible Fund Inc.",CVF
"CEL-SCI Corp.",CVM
"Conversion Services International Inc.",CVN
"Centerplate Inc.",CVP
"Chicago Rivet & Machine Co.",CVR
"CPI Aerostructures Inc.",CVU
"CF ASIAN CURR PPN'S",CZJ
"Darling International Inc.",DAR
"PowerShares DB Commodity Idx Trking Fund",DBC
"DJ EURO STOXX 50 IDX",DBX
"MS TI STRAT TTL RTN",DBY
"MS STRAT TTL RTN SEC",DBZ
"Dryclean USA Inc.",DCU
