# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"ASIA AUTOMATIVE",AAAC
"Asia Automotive Acquisition Corp.",AAACU
"ASIA AUTOMOTIVE WT",AAACW
"AAA Energy Inc.",AAAE
"ARDENT ACQUISITION",AACQ
"Ardent Acquisition Corp.",AACQU
"ARDENT ACQUISITN WT",AACQW
"American Commerce Solutions Inc.",AACS
"ASIAN DRAGON GROUP",AADG
"ASIA GLOBAL HOLDINGS",AAGH
"American Ammunition Inc.",AAMU
"Amedia Networks Inc.",AANI
"AMERICAN PETRO-HUNT",AAPH
"Across America Real Estate Corp.",AARD
"All American Sportpark Inc.",AASP
"Advanced Battery Technologies Inc.",ABAT
"AmBase Corp.",ABCP
"American Bank Note Holographics Inc.",ABHH
"AMERICAN BANCP (LA)",ABNC
"Alliance Bancshares California",ABNS
"Arbios Systems Inc.",ABOS
"Allegiance Bank North America",ABPA
"Advanced BioPhotonics Inc.",ABPH
"Ambient Corporation",ABTG
"ALLIANCE BK & TR NC",ABTN
"Abazias Inc.",ABZA
"AMERICA CALIFORNIABK",ACAL
"Acorn Acquisition Corp.",ACAQ
N/A,ACBP
"Access Pharmaceuticals Inc.",ACCP
"Acorn Factor, Inc.",ACFN
"The Amacore Group, Inc",ACGI
"Acies Corp.",ACIE
"ARMSTRONG HLDG",ACKH
"ACNB Corp.",ACNB
"ACRO INC",ACRI
"Advanced Cell Technology Inc.",ACTC
"Acura Pharmaceuticals Inc.",ACUR
"Americana Distribution, Inc.",ADBN
"Aduddell Industries, Inc.",ADDL
"Adams Golf Inc.",ADGO
"American Medical Technologies Inc.",ADLI
"ADM Tronics Unlimited Inc.",ADMT
"ARDNET MINES LTD",ADNT
"ANDOVER MEDICAL INC",ADOV
"Advance Display Technologies Inc.",ADTI
"Alliance Distributors Holding Inc.",ADTR
"Advanced Biotherapy Inc.",ADVB
"Advanced Communications Technologies Inc.",ADVC
"Advanced Viral Research Corp.",ADVR
"Advaxis Inc.",ADXS
"Adzone Research Inc.",ADZR
"American Energy Group Ltd.",AEGG
"Aethlon Medical Inc.",AEMD
"Alternative Energy Sources, Inc.",AENS
"ABC Funding Inc.",AFDG
"Affinity Technology Group Inc.",AFFI
"Atm Financial Corp",AFIC
"AFINITY MEDIA INTL",AFMI
"Affinity Media International Corp.",AFMIU
"AFFINITY MEDIA WT",AFMIW
"AFP Imaging Corp.",AFPC
"AFV SOLUTIONS INC",AFVSE
"Angelciti Entertainment Inc.",AGCI
"AMERICAN GOLDFIELDS",AGFL
"ACTIS Global Ventures, Inc.",AGLV
"ACRONGENOMICS INC",AGNM
"Atmospheric Glow Technologies Inc.",AGWT
"ARGENTEX MINING CORP",AGXM
"American Home Food Products, Inc.",AHFP
"American Homepatient Inc.",AHOM
"AIDA PHARMACEUTICALS",AIDA
"Airtrax Inc.",AITX
"American International Ventures Inc.",AIVN
"AJS Bancorp Inc.",AJSB
"Arkados Group, Inc.",AKDS
"Akesis Pharmaceuticals, Inc.",AKES
"Alaska Pacific Bancshares Inc.",AKPB
"ARKANOVA ENERGY CORP",AKVA
"Aldabra Acquisition Corp.",ALBAU
"American Life Holding Co. Inc.",ALFE
"Alliance Healthcard Inc.",ALHC
"Artificial Life Inc.",ALIF
"Allin Corp.",ALLN
"Alliance Pharmaceutical Corp.",ALLP
"Alamogordo Financial Corp.",ALMG
"Atlas Mining Co.",ALMI
"ALLIED RESOURCES INC",ALOD
"ALABAMA PWR 4.60 PD",ALPVN
"Allergy Research Group Inc.",ALRG
"ALR Technologies Inc.",ALRT
"ALPHARX INC",ALRX
"ALLTEL CORP 2.25 CONV PFD D",ALTEO
"Altex Industries Inc.",ALTX
"Amarillo Biosciences Inc.",AMAR
"American Bank Inc.",AMBK
"AMER CAP TR I 6% PFD",AMBKP
"American Business Bank",AMBZ
"AMB Financial Corp.",AMFC
"AMG Oil Ltd.",AMGO
"Ace Marketing & Promotions Inc",AMKT
"American Leisure Holdings Inc.",AMLH
"AML Communications Inc.",AMLJ
"American Media Systems Co.",AMMS
"AMISH NATURALS INC",AMNT
"AMP PRODUCTIONS INC",AMPC
"AmeriResource Technologies Inc.",AMRE
"Amanasu Environment Corp.",AMSU
"AMERICAN UNITED GOLD",AMUG
"AIMS Worldwide Inc.",AMWW
"AMMEX GOLD MINING",AMXG
"Andrea Electronics Corp.",ANDR
"Analytical Surveys Inc.",ANLT
"ANTs software Inc.",ANTS
"AcuNetx, Inc.",ANTX
"Australian Oil & Gas Corp.",AOGC
"Aeolus Pharmaceuticals Inc.",AOLS
"AeroTelesis Inc.",AOTL
"Advanced Oxygen Technologies Inc.",AOXY
"Applied DNA Sciences Inc.",APDN
"Assured Pharmacy Inc.",APHY
"API NANOTRONICS CORP",APIO
"APOLO GOLD & ENERGY",APLL
"Alpha Innotech Corporation",APNO
"Applied NeuroSolutions Inc.",APNS
"Alpine Air Express Inc.",APNX
"APPALACHIAN PWR 4 1/2 PFD",APPWM
"ALABAMA PWR 4.52 PFD",APRCP
"ALABAMA PWR 4.92 PD",APRDM
"ALABAMA PWR 4.20 PD",APRDN
"ALABAMA PWR 4.64 PD",APRDO
"ALABAMA PWR 4.72 PD",APRDP
ALPHATRADE.COM,APTD
"A S P VENTURES CORPORATION",APVE
"Apex Resources Group Inc.",APXR
"AQUA SOCIETY INC",AQAS
"Arbor EnTech Corp.",ARBE
"ARADIGM CORP",ARDM
"Auriga Laboratories Inc.",ARGA
"ARGYLE SECURITY ACQ",ARGL
"Argyle Security Acquisition Corp.",ARGLU
"ARGYLE SECURITY WT",ARGLW
"ALTERNATE ENERGY CP",ARGY
"Archon Corp.",ARHN
