# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Altana AG",AAAGY,
"American Business Financial Services Inc.",ABFIQ,
"Abatix Corp.",ABIX,
"Able Energy Inc.",ABLE,
"AB Watley Group Inc.",ABWG,
"ACCESS POWER INC",ACCR,
"ACE*COMM Corp.",ACEC,
"ACI TELECENTRICS INC",ACIT,
"Acrodyne Communications Inc.",ACRO,
"Accrue Software Inc.",ACRUQ,
"ACT TELECONF INC",ACTT,
"AccuPoll Holding Corp.",ACUP,
"ANDRESMIN GOLD",ADGD,
"Admiralty Holding Company",ADMH,
"AUTO DATA NETWORK",ADNW,
"Advanced Optics Electronics Inc.",ADOT,
"ADDISON DAVIS DIAGNS",ADSD,
"ADSERO CORP",ADSO,
"Aradyme Corp.",ADYE,
"ALTERNATE ENERGY HLD",AEHI,
"Advanced Engine Technologies Inc.",AENG,
"AER ENERGY RESOURCES",AERN,
"AMERICAN ENERGY SVCS",AEYS,
"US AGGREGATES INC",AGATQ,
"Aegis Assessments Inc.",AGSI,
"ANGSTROM TECHS INC",AGTT,
"Royal Ahold",AHONY,
"AICI CAP TR 9% PFD",AICPQ,
"Acclaim Entertainment Inc.",AKLMQ,
"Aksys Ltd.",AKSY,
"Akzo Nobel NV",AKZOY,
"ATLANTIC CAS RES ADR",ALCRY,
"American Locker Group Inc.",ALGI,
"Alliance Semiconductor Corp.",ALSC,
"Atlas Resources International Inc.",ALSI,
"Allou Healthcare Inc.",ALUHQ,
"AMF Bowling Inc.",AMBWQ,
"American Millennium Corp Inc.",AMCI,
"Amcor Ltd.",AMCRY,
"Ames Department Stores Inc.",AMESQ,
"American Healthchoice Inc.",AMHI,
"Amistar Corp.",AMTA,
"American Utilicraft Corp.",AMUC,
"American Water Star Inc.",AMWS,
"ATLANTIC CITY EL4.75",ANTEM,
"ATLANTIC CITY EL4.00",ANTEN,
"Antex Biologics Inc.",ANXB,
"Australia and New Zealand Banking Group Limited",ANZBY,
"Apollo Resources International",AOOR,
"APOLLO DRILLING INC",APDR,
"ALPS ELECTRIC LTD AD",APELY,
"Aphton Corp.",APHTQ,
"Alpine Group Inc.",APNI,
"Advanced Plant Pharmaceuticals Inc.",APPI,
"APPIANT TECHS INC",APPS,
"ADVANCED PROTEOME TH",APTCF,
"Aquatic Cellulose International Corp.",AQCI,
"AQUIS COMMUNICATIONS GROUP INC",AQIS,
"AQUARIUS PLATINUM AD",AQPTY,
"AQUACELL TECH INC",AQUA,
"Arcadis NV",ARCAY,
"Ardent Communications Inc.",ARDTQ,
"Arete Industries Inc.",ARET,
"Advanced Refractive Technologies Inc.",ARFR,
"ARYT INDUSTRIES LTD",ARYTF,
"Asconi Corp.",ASCD,
"Anscott Industries Inc.",ASCT,
"American Sports Development Group Inc.",ASDP,
"ASAHI GLASS CO LTD A",ASGLY,
"ASPEON INC",ASPE,
"Adsouth Partners Inc.",ASPR,
"Aspen Group Resources Corp.",ASRPF,
"ALPHA TECH GRP INC#",AHAG,
"Advanced Tissue Sciences Inc.",ATISZ,
"ATOMIC BURRITO INC",ATOM,
"AEP TX NORTH 4.4 PFD",ATXAN,
"AEP TX CEN 4.0 PFD",ATXCH,
"AEP TX CEN 4.2 PFD",ATXCO,
"AURA SYSTEMS INC NEW",AUSI,
"Avatex Corp.",AVATQ,
"Avix Technologies Inc.",AVIX,
"Avantogen Oncology, Inc.",AVTO,
"TJT Inc.",AXLE,
"AXM Pharma Inc.",AXMP,
"AXION POWER INTL INC",AXPW,
"Axtive Corp.",AXTC,
"Azur Holdings, Inc.",AZHI,
"Aztec Technology Partners",AZTC,
"British Airways plc",BAIRY,
"Bayer AG",BAYRY,
"Broadband Wireless International Corp.",BBAN,
"Bodisen Biotech Inc.",BBCZ,
"Brantley Capital Corp.",BBDC,
"BB Holdings Ltd.",BBHLF,
"BBJ Environmental Technologies Inc.",BBJE,
"Bluebook International Holding Co.",BBKH,
"BBMF CORPORATION",BBMF,
"Bouncebacktechnologies.com Inc.",BBTC,
"BROADCAST MRKTG NEW",BDCM,
"BENGUET CORP CL B",BENGF,
"BERES INDUSTRIES INC",BERS,
"BE Semiconductor Industries NV",BESIY,
"Bam! Entertainment Inc.",BFUN,
"Bridgetech Holdings International, Inc.",BGTH,
"BIOQUAL INC",BIOQ,
"Bakbone Software Inc.",BKBO,
"BKF Capital Group Inc.",BKFG,
"BULLDOG TECHNOLOGIES",BLLD,
"Brilliant Technologies Corp.",BLLN,
"BLUEPOINT LINUX SFT",BLPT,
"Biometrics Security Technology Inc.",BMTS,
"BOUNCE MOBILE SYS",BNCM,
"BP INTL INC",BPIL,
"Badger Paper Mills Inc.",BPMI,
"Bioprogress plc",BPRGY,
"BIOQUEST TECHNOLOG",BQTG,
"Boston Restaurant Associates Inc.",BRAI,
"Blue River Bancshares Inc.",BRBI,
"Brek Energy Corp.",BREK,
"BG Group",BRGYY,
"Burst.com Inc.",BRST,
"Bravo! Foods International Corp.",BRVO,
"BSI2000 Inc.",BSIO,
"Big Sky Energy Corp.",BSKO,
"BriteSmile Inc.",BSML,
"Filene's Basement Corp.",BSMTQ,
"BioSpecifics Technologies Corp.",BSTC,
"BIOSYNTECH INC",BSYI,
"BACTOLAC PHARMACEUTL",BTCP,
"Battery Technologies Inc.",BTIOQ,
"Biotransplant Inc.",BTRNQ,
"Schlotzsky's Inc.",BUNZQ,
"Butler International Inc.",BUTL,
"BackWeb Technologies Ltd.",BWEBF,
"BREAKWATER RESOURCES",BWLRF,
"Bexil Corp.",BXLC,
"BMXP HOLDINGS INC",BXPH,
"BIZAUCTIONS INC",BZCN,
"Credit Acceptance Corp.",CACC,
"Camelot Corp.",CAML,
"Caneum Inc.",CANM,
"Publicard Inc.",CARD,
"Carrington Laboratories Inc.",CARN,
"COASTAL BANC ACQ",CBAS,
"COASTAL BANC ACQ WT",CBASW,
"Cambex Corp.",CBEX,
"Calibre Energy Inc.",CBRE,
"Cala Corp.",CCAA,
"CHINA CABLE & COMMUN",CCCI,
"CEYONIQ AG ADS",CCEQQ,
"CCI Group Inc.",CCIG,
"C-3D Digital Inc.",CDDT,
"Capacitive Deionization Technology Systems Inc.",CDTN,
"CORPORACION DURANGO",CDURQ,
"CD Warehouse Inc.",CDWR,
"CERTICOM CORP",CERTF,
"Capitol First Corp.",CFCO,
"Cardiogenesis Corporation",CGCP,
"CENTURION GOLD HLDGS",CGHI,
